id,fare_amount
0,9.418
1,8.581000000000003
2,5.3309999999999995
3,8.769
4,13.541000000000004
5,8.285000000000004
6,5.632999999999998
7,54.8275
8,11.686999999999998
9,7.093
10,8.717999999999998
11,14.780899999999999
12,5.129000000000001
13,7.224000000000002
14,8.657
15,11.780999999999999
16,5.386
17,9.084000000000001
18,5.285999999999999
19,6.015999999999998
20,7.538299999999997
21,7.701000000000001
22,7.546
23,8.875999999999998
24,16.337
25,6.289000000000001
26,25.346999999999984
27,21.89749999999999
28,6.615999999999999
29,12.171000000000003
30,9.964
31,5.635000000000002
32,5.309999999999998
33,9.879000000000001
34,8.195999999999994
35,6.5120000000000005
36,5.691000000000002
37,5.506
38,8.437000000000001
39,5.678999999999999
40,17.386999999999997
41,8.527
42,17.498000000000008
43,9.780000000000001
44,5.814000000000002
45,10.719
46,5.905999999999999
47,7.048999999999998
48,5.629000000000001
49,6.501000000000001
50,10.408000000000005
51,13.708000000000002
52,18.33
53,5.514999999999999
54,7.958000000000003
55,12.458000000000002
56,10.127
57,10.355999999999996
58,11.243000000000002
59,11.5
60,7.845
61,9.598000000000003
62,5.6339999999999995
63,5.412000000000001
64,6.634000000000001
65,6.434000000000002
66,9.303999999999997
67,5.371
68,5.189
69,14.628000000000004
70,5.678
71,6.875000000000003
72,9.158999999999994
73,6.306999999999999
74,9.830000000000002
75,12.591999999999995
76,44.7697
77,5.026000000000001
78,5.742000000000001
79,4.609000000000002
80,6.275999999999999
81,5.109000000000001
82,7.4979999999999976
83,9.229000000000003
84,16.701000000000008
85,4.516999999999997
86,9.047499999999996
87,6.385
88,13.422999999999996
89,8.322000000000005
90,9.318000000000003
91,9.336999999999996
92,6.228000000000001
93,6.276999999999998
94,12.725
95,13.128
96,11.76
97,11.905999999999997
98,8.779000000000003
99,10.984999999999992
100,12.333000000000006
101,9.825
102,49.26180000000002
103,6.995999999999998
104,4.724000000000001
105,5.827000000000003
106,10.277999999999997
107,8.816999999999998
108,9.982
109,35.650899999999986
110,26.063
111,17.311000000000014
112,9.867999999999997
113,12.269999999999998
114,5.623000000000002
115,5.821999999999997
116,23.64999999999999
117,7.796999999999998
118,7.162399999999999
119,10.506000000000002
120,10.588999999999993
121,6.707000000000001
122,9.024999999999999
123,7.093000000000002
124,6.424000000000001
125,5.843999999999999
126,8.129999999999997
127,9.957
128,6.487000000000002
129,17.39400000000001
130,5.387000000000001
131,4.567
132,6.0310000000000015
133,6.075000000000001
134,6.656000000000001
135,5.596000000000001
136,10.568000000000001
137,9.021000000000003
138,20.05
139,8.022000000000002
